playerID,yearID,SorR,stint,teamID,lgID,W,L,G,GS,GSPct,IPouts,IP,H,ER,HR,BB,WHIP,SO,SOPer9IP,ERA,R
burwebi01,1920,reliever,1,SLA,AL,6,4,33,2,6.060606061,340,113.3333333,133,46,5,42,1.54,30,2.38,3.65,55
enzmajo01,1920,reliever,1,PHI,NL,2,3,16,1,6.25,176,58.66666667,79,25,1,16,1.62,35,5.37,3.84,40
karrbe01,1920,reliever,1,BOS,AL,3,8,26,2,7.692307692,275,91.66666667,109,49,3,24,1.45,21,2.06,4.81,55
bettshu01,1921,reliever,1,PHI,NL,3,7,32,2,6.25,302,100.6666667,141,50,8,14,1.54,28,2.50,4.47,65
burwebi01,1921,reliever,1,SLA,AL,2,4,33,3,9.090909091,253,84.33333333,102,48,2,29,1.55,17,1.81,5.12,62
jonespe01,1921,reliever,1,CHN,NL,3,5,32,3,9.375,296,98.66666667,116,50,2,39,1.57,46,4.20,4.56,57
northlo01,1921,reliever,1,SLN,NL,4,4,40,0,0,259,86.33333333,81,34,5,32,1.31,28,2.92,3.54,39
sallesl01,1921,reliever,1,NY1,NL,6,4,37,0,0,289,96.33333333,115,39,7,14,1.34,23,2.15,3.64,48
barfocl01,1922,reliever,1,SLN,NL,4,5,42,2,4.761904762,353,117.6666667,139,55,2,30,1.44,19,1.45,4.21,75
causere01,1922,reliever,1,NY1,NL,4,3,24,2,8.333333333,212,70.66666667,69,25,2,34,1.46,13,1.66,3.18,34
decatar01,1922,reliever,1,BRO,NL,3,4,29,2,6.896551724,263,87.66666667,87,27,3,29,1.32,31,3.18,2.77,31
eckerch01,1922,reliever,1,PHA,AL,0,2,21,0,0,150,50,61,26,7,23,1.68,15,2.70,4.68,33
fullecu01,1922,reliever,1,BOS,AL,1,4,31,3,9.677419355,193,64.33333333,70,39,4,35,1.63,17,2.38,5.46,40
jonnacl01,1922,reliever,1,NY1,NL,6,1,33,0,0,288,96,96,41,7,28,1.29,44,4.13,3.84,45
murrage01,1922,reliever,1,NYA,AL,4,2,22,2,9.090909091,170,56.66666667,53,25,0,26,1.39,14,2.22,3.97,27
sulliji02,1922,reliever,1,PHA,AL,0,2,20,2,10,154,51.33333333,76,31,3,25,1.97,15,2.63,5.44,43
barfocl01,1923,reliever,1,SLN,NL,3,3,33,2,6.060606061,304,101.3333333,112,42,7,27,1.37,23,2.04,3.73,49
barnevi01,1923,reliever,1,NY1,NL,2,3,22,2,9.090909091,159,53,59,23,2,19,1.47,6,1.02,3.91,31
fussefr01,1923,reliever,1,CHN,NL,3,5,28,2,7.142857143,229,76.33333333,90,47,2,31,1.59,38,4.48,5.54,51
jonnacl01,1923,reliever,1,NY1,NL,4,3,45,1,2.222222222,288,96,105,35,6,35,1.46,45,4.22,3.28,45
northlo01,1923,reliever,1,SLN,NL,3,4,34,3,8.823529412,215,71.66666667,90,41,8,31,1.69,24,3.01,5.15,50
odoulle01,1923,reliever,1,BOS,AL,1,1,23,1,4.347826087,159,53,69,32,2,31,1.89,10,1.70,5.43,50
rootch01,1923,reliever,1,SLA,AL,0,4,27,2,7.407407407,180,60,68,38,4,18,1.43,27,4.05,5.7,45
russeal01,1923,reliever,1,WS1,AL,10,7,52,5,9.615384615,544,181.3333333,177,61,9,77,1.4,67,3.33,3.03,81
gastomi01,1924,reliever,1,NYA,AL,5,3,29,2,6.896551724,258,86,92,43,3,44,1.58,24,2.51,4.5,48
grantge02,1924,reliever,1,SLA,AL,1,2,22,2,9.090909091,154,51.33333333,69,36,4,25,1.83,11,1.93,6.31,42
jonnacl01,1924,reliever,1,NY1,NL,4,5,34,3,8.823529412,269,89.66666667,80,24,2,24,1.16,40,4.01,2.41,33
pruethu01,1924,reliever,1,SLA,AL,3,4,33,1,3.03030303,195,65,64,33,1,42,1.63,27,3.74,4.57,42
rossbu01,1924,reliever,1,BOS,AL,4,3,30,2,6.666666667,280,93.33333333,109,36,3,30,1.49,16,1.54,3.47,49
russeal01,1924,reliever,1,WS1,AL,5,1,37,0,0,247,82.33333333,83,40,1,45,1.55,17,1.86,4.37,49
speecby01,1924,reliever,1,WS1,AL,2,1,21,1,4.761904762,163,54.33333333,60,16,0,27,1.6,15,2.48,2.65,30
stonear01,1924,reliever,1,PIT,NL,4,2,26,2,7.692307692,192,64,57,21,0,15,1.13,7,0.98,2.95,27
connasa01,1925,reliever,1,CHA,AL,6,7,40,2,5,314,104.6666667,122,54,2,58,1.72,45,3.87,4.64,66
doyleje01,1925,reliever,1,DET,AL,4,7,45,3,6.666666667,355,118.3333333,158,78,6,50,1.76,31,2.36,5.93,83
huntzwa01,1925,reliever,1,NY1,NL,5,1,26,1,3.846153846,193,64.33333333,68,25,3,17,1.32,19,2.66,3.5,30
